BA section,BA sub-section,BA UI field,dev-int card,Status,Matched label
Previous Employment,,Additional Information,Previous Employment,FOUND,Additional Information
Previous Employment,,Present Employer?,Previous Employment,FOUND,Present Employer?
Pending,,Learning History,(none),NO CARD,
Language Skills,,Language,Language Skills,FOUND,Language
Language Skills,,Certificate,Language Skills,FOUND,Certificate
Language Skills,,Others,Language Skills,FOUND,Others
Language Skills,,Attachment,Language Skills,FOUND,Attachment
Language Skills,,Speaking Proficiency,Language Skills,FOUND,Speaking Proficiency
Language Skills,,Reading Proficiency,Language Skills,FOUND,Reading Proficiency
Language Skills,,Writing Proficiency,Language Skills,FOUND,Writing Proficiency
Language Skills,,Listening Proficiency,Language Skills,FOUND,Listening Proficiency
Certification/License,,Type Of Certificate,Certification/License,FOUND,Type Of Certificate
Certification/License,,Certification/ License,Certification/License,FOUND,Certification/ License
Certification/License,,Description,Certification/License,FOUND,Description
Certification/License,,Institution,Certification/License,FOUND,Institution
Certification/License,,Effective Date,Certification/License,FOUND,Effective Date
Certification/License,,Expiration Date,Certification/License,FOUND,Expiration Date
Certification/License,,Certification/ License Number,Certification/License,FOUND,Certification/ License Number
Certification/License,,Name as appears on Certification/License,Certification/License,FOUND,Name as appears on Certification/License
Certification/License,,Certification/ License Country,Certification/License,FOUND,Certification/ License Country
Certification/License,,Score,Certification/License,FOUND,Score
Certification/License,,Attachment,Certification/License,FOUND,Attachment
Goodness,,Effective Date,Goodness,FOUND,Effective Date
Goodness,,Detail,Goodness,FOUND,Detail
Goodness,,Point,Goodness,FOUND,Point
Goodness,,Comment,Goodness,FOUND,Comment
Disciplinary,,Start Date,Disciplinary,FOUND,Start Date
Disciplinary,,Type,Disciplinary,FOUND,Type
Disciplinary,,Detail,Disciplinary,FOUND,Detail
Disciplinary,,Status,Disciplinary,FOUND,Status
Disciplinary,,Punishment Detail,Disciplinary,FOUND,Punishment Detail
Disciplinary,,Punishment Date,Disciplinary,FOUND,Punishment Date
Disciplinary,,Appeal Date,Disciplinary,FOUND,Appeal Date
Disciplinary,,Point,Disciplinary,FOUND,Point
Disciplinary,,Damage Amount,Disciplinary,FOUND,Damage Amount
Disciplinary,,Supervisor,Disciplinary,FOUND,Supervisor
Disciplinary,,Attachment,Disciplinary,FOUND,Attachment
Company Loan,,Start Date,Company Loan,FOUND,Start Date
Company Loan,,End Date,Company Loan,FOUND,End Date
Company Loan,,Type of Loan,Company Loan,FOUND,Type of Loan
Company Loan,,Amount,Company Loan,FOUND,Amount
Company Loan,,Additional Information,Company Loan,FOUND,Additional Information
Scholarship,,Scholarship Award Year,Scholarship,FOUND,Scholarship Award Year
Scholarship,,Graduation Year,Scholarship,FOUND,Graduation Year
Scholarship,,Scholarship Start Year,Scholarship,FOUND,Scholarship Start Year
Scholarship,,Scholarship End Year,Scholarship,FOUND,Scholarship End Year
Scholarship,,Attachment,Scholarship,FOUND,Attachment
Scholarship,,Remarks,Scholarship,FOUND,Remarks
Guarantee,,Guarantee,Guarantee,FOUND,Guarantee
Guarantee,,Effective date,Guarantee,FOUND,Effective date
Guarantee,,Guarantor (Person name or Company name),Guarantee,FOUND,Guarantor (Person name or Company name)
Guarantee,,Warranty Amount,Guarantee,FOUND,Warranty Amount
Guarantee,,Contact No.,Guarantee,FOUND,Contact No.
Guarantee,,End Date,Guarantee,FOUND,End Date
Pending,Pending,Obligation(EBO),(none),NO CARD,
Company Asset,,Receiving date,Company Asset,FOUND,Receiving date
Company Asset,,Receiving status,Company Asset,FOUND,Receiving status
Company Asset,,Volume,Company Asset,FOUND,Volume
Company Asset,,Asset type,Company Asset,FOUND,Asset type
Company Asset,,Returnable date,Company Asset,FOUND,Returnable date
Company Asset,,Return Status,Company Asset,FOUND,Return Status
Company Asset,,Remark,Company Asset,FOUND,Remark
Company Asset,,Serial number,Company Asset,FOUND,Serial number
Mobility,,Willing to Relocate,Mobility,FOUND,Willing to Relocate
Mobility,,Country,Mobility,FOUND,Country
Mobility,,Province,Mobility,FOUND,Province
Mobility,,Business Unit,Mobility,FOUND,Business Unit
Mobility,,Function,Mobility,FOUND,Function
Mobility,,Comment,Mobility,FOUND,Comment
Individual Document,,Document Name,Individual Documents,FOUND,Document Name
Individual Document,,Effective Date,Individual Documents,FOUND,Effective Date
Individual Document,,Attachment,Individual Documents,FOUND,Attachment
Benefit Election,,Dependent Name,Benefit Election,FOUND,Dependent Name
Benefit Election,,Relation,Benefit Election,FOUND,Relation
Benefit Election,,Birth Date,Benefit Election,FOUND,Birth Date
Benefit Election,,National ID,Benefit Election,FOUND,National ID
Benefit Election,,Gender,Benefit Election,FOUND,Gender
Benefit Election,,Student?,Benefit Election,FOUND,Student?
Benefit Election,,Smoker?,Benefit Election,FOUND,Smoker?
Benefit Election,,Disabled?,Benefit Election,FOUND,Disabled?
Benefit Election,,Health Plan,Benefit Election,FOUND,Health Plan
Benefit Election,,Dental Plan,Benefit Election,FOUND,Dental Plan
Community/Volunteer Involvement,,From Date,Community/Volunteer Involvement,FOUND,From Date
Community/Volunteer Involvement,,End Date,Community/Volunteer Involvement,FOUND,End Date
Community/Volunteer Involvement,,Community/Volunteer Organization Name,Community/Volunteer Involvement,FOUND,Community/Volunteer Organization Name
Community/Volunteer Involvement,,Role,Community/Volunteer Involvement,FOUND,Role
Courses/Workshops/Seminars,,Course Name,Courses/Workshops/Seminars,FOUND,Course Name
Courses/Workshops/Seminars,,Institution Name,Courses/Workshops/Seminars,FOUND,Institution Name
Courses/Workshops/Seminars,,Start Date,Courses/Workshops/Seminars,FOUND,Start Date
Courses/Workshops/Seminars,,End Date,Courses/Workshops/Seminars,FOUND,End Date
Key Successes,,Year (AD),Key Successes,FOUND,Year (AD)
Key Successes,,Achievement,Key Successes,FOUND,Achievement
Key Successes,,Attachment,Key Successes,FOUND,Attachment
Assessment Program,,Program,Assessment Program,FOUND,Program
Assessment Program,,Year (AD),Assessment Program,FOUND,Year (AD)
Assessment Program,,Result,Assessment Program,FOUND,Result
Assessment Program,,MBTI Strength,Assessment Program,FOUND,MBTI Strength
Assessment Program,,MBTI Weakness,Assessment Program,FOUND,MBTI Weakness
Assessment Program,,Attachment,Assessment Program,FOUND,Attachment
Coaching Feedback,,Type,Coaching Feedback,FOUND,Type
Coaching Feedback,,Internal Name,Coaching Feedback,FOUND,Internal Name
Coaching Feedback,,External Name,Coaching Feedback,FOUND,External Name
Coaching Feedback,,Identified as of Date,Coaching Feedback,FOUND,Identified as of Date
Coaching Feedback,,Comment/Feedback,Coaching Feedback,FOUND,Comment/Feedback
Coaching Feedback,,Attachment,Coaching Feedback,FOUND,Attachment
Development Goals,,Category,Development Goals,FOUND,Category
Development Goals,,Development Goal ID,Development Goals,FOUND,Development Goal ID
Development Goals,,Development Goal,Development Goals,FOUND,Development Goal
Development Goals,,Description,Development Goals,FOUND,Description
Development Goals,,Expected Outcome,Development Goals,FOUND,Expected Outcome
Development Goals,,Competency,Development Goals,FOUND,Competency
Development Goals,,Start Date,Development Goals,FOUND,Start Date
Development Goals,,Complete Date,Development Goals,FOUND,Complete Date
Development Goals,,Development Goal Status,Development Goals,FOUND,Development Goal Status
Development Opportunities,,Year (AD),Development Opportunities,FOUND,Year (AD)
Development Opportunities,,Development Needs,Development Opportunities,FOUND,Development Needs
Development Opportunities,,Description,Development Opportunities,FOUND,Description
Overall Competency Rating (UA),,Year(AD),Overall Competency Rating,FOUND,Year(AD)
Overall Competency Rating (UA),,Rating Score,Overall Competency Rating,FOUND,Rating Score
Overall Competency Rating (UA),,Rating Label,Overall Competency Rating,FOUND,Rating Label
Overall KPI Rating (UA),,Year(AD),Overall KPI Rating,FOUND,Year(AD)
Overall KPI Rating (UA),,Rating Score,Overall KPI Rating,FOUND,Rating Score
Overall KPI Rating (UA),,Rating Label,Overall KPI Rating,FOUND,Rating Label
Overall Performance Rating (UA),,Year(AD),Overall Performance Rating,FOUND,Year(AD)
Overall Performance Rating (UA),,Rating Score,Overall Performance Rating,FOUND,Rating Score
Overall Performance Rating (UA),,Rating Label,Overall Performance Rating,FOUND,Rating Label
Overall Performance Rating (UA),,Remark,Overall Performance Rating,FOUND,Remark
Business Driver Assessment,,Driving for Profitable Growth,Business Driver Assessment,FOUND,Driving for Profitable Growth
Business Driver Assessment,,Striving to Meet Customer Satisfaction,Business Driver Assessment,FOUND,Striving to Meet Customer Satisfaction
Business Driver Assessment,,Building Organization Excellence,Business Driver Assessment,FOUND,Building Organization Excellence
Business Driver Assessment,,Promoting Sustainable Collaborations & Partnerships,Business Driver Assessment,FOUND,Promoting Sustainable Collaborations & Partnerships
Business Driver Assessment,,Developing People,Business Driver Assessment,FOUND,Developing People
Business Driver Assessment,,Leading Innovation,Business Driver Assessment,FOUND,Leading Innovation
Learning Activities,,Category,Learning Activities,FOUND,Category
Learning Activities,,Development Objective ID,Learning Activities,FOUND,Development Objective ID
Learning Activities,,Topic,Learning Activities,FOUND,Topic
Learning Activities,,Description,Learning Activities,FOUND,Description
Learning Activities,,Planned Start Date,Learning Activities,FOUND,Planned Start Date
Learning Activities,,Planned Completed Date,Learning Activities,FOUND,Planned Completed Date
Learning Activities,,Status,Learning Activities,FOUND,Status
Learning Activities,,Learning Activity ID,Learning Activities,FOUND,Learning Activity ID
Learning Activities,,Type,Learning Activities,FOUND,Type
Learning Activities,,Learning Name,Learning Activities,FOUND,Learning Name
Learning Activities,,Learning Status,Learning Activities,FOUND,Learning Status
Learning Activities,,Learning Planned Start Date,Learning Activities,FOUND,Learning Planned Start Date
Learning Activities,,Learning Planned Completed Date,Learning Activities,FOUND,Learning Planned Completed Date
Learning Activities,,Learning Planned Expected Result,Learning Activities,FOUND,Learning Planned Expected Result
MT/MA Reference,,Program,MT/MA Reference,FOUND,Program
MT/MA Reference,,Sponser,MT/MA Reference,FOUND,Sponser
MT/MA Reference,,Year(AD),MT/MA Reference,FOUND,Year(AD)
MT/MA Reference,,Remark,MT/MA Reference,FOUND,Remark
MT/MA Reference,,Attachment,MT/MA Reference,FOUND,Attachment
Top Strengths,,Year (AD),Top Strengths,FOUND,Year (AD)
Top Strengths,,Achievement,Top Strengths,FOUND,Achievement
Top Strengths,,Attachment,Top Strengths,FOUND,Attachment
Talent Reference,,Program,Talent Reference,FOUND,Program
Talent Reference,,Sponser,Talent Reference,FOUND,Sponser
Talent Reference,,Year(AD),Talent Reference,FOUND,Year(AD)
Talent Reference,,Remark,Talent Reference,FOUND,Remark
Talent Reference,,Attachment,Talent Reference,FOUND,Attachment
Performance Group,,Year(AD),Performance Group,FOUND,Year(AD)
Performance Group,,Group,Performance Group,FOUND,Group
E-Letter_Password,,E-Letter Password,E-Letter Password,FOUND,E-Letter Password
E-Letter_Password,,Year,E-Letter Password,FOUND,Year
E-Letter_Password,,PA Grade,E-Letter Password,FOUND,PA Grade
E-Letter_Password,,New Salary,E-Letter Password,FOUND,New Salary
E-Letter_Password,,Extra Overceiling,E-Letter Password,FOUND,Extra Overceiling
E-Letter_Password,,Bonus,E-Letter Password,FOUND,Bonus
E-Letter_Password,,Old Salary,E-Letter Password,FOUND,Old Salary
E-Letter_Password,,Note,E-Letter Password,FOUND,Note
Personal Assessment Summary,,1. Positive Side,Personal Assessment Summary,FOUND,1. Positive Side
Personal Assessment Summary,,2. Positive Side,Personal Assessment Summary,FOUND,2. Positive Side
Personal Assessment Summary,,3. Positive Side,Personal Assessment Summary,FOUND,3. Positive Side
Personal Assessment Summary,,1. Need to be Improved Side,Personal Assessment Summary,FOUND,1. Need to be Improved Side
Personal Assessment Summary,,2. Need to be Improved Side,Personal Assessment Summary,FOUND,2. Need to be Improved Side
Personal Assessment Summary,,3. Need to be Improved Side,Personal Assessment Summary,FOUND,3. Need to be Improved Side
Individual Documents,,Document Name,Individual Documents,FOUND,Document Name
Individual Documents,,Effective Date,Individual Documents,FOUND,Effective Date
Individual Documents,,Attachment,Individual Documents,FOUND,Attachment
Flexible Spending Accounts,,Plan Name,Flexible Spending Accounts,FOUND,Plan Name
Flexible Spending Accounts,,Election Amount,Flexible Spending Accounts,FOUND,Election Amount
Flexible Spending Accounts,,Total Contributions,Flexible Spending Accounts,FOUND,Total Contributions
Flexible Spending Accounts,,Total Funds Out,Flexible Spending Accounts,FOUND,Total Funds Out
Flexible Spending Accounts,,Total Repayments,Flexible Spending Accounts,FOUND,Total Repayments
Flexible Spending Accounts,,Available Balance,Flexible Spending Accounts,FOUND,Available Balance
Functional Experience,,Function,Functional Experience,FOUND,Function
Functional Experience,,Years of Experience,Functional Experience,FOUND,Years of Experience
Functional Experience,,Comments,Functional Experience,FOUND,Comments
Leadership Experience,,Area of Leadership,Leadership Experience,FOUND,Area of Leadership
Leadership Experience,,Years of Experience,Leadership Experience,FOUND,Years of Experience
Leadership Experience,,Number of People Managed,Leadership Experience,FOUND,Number of People Managed
Leadership Experience,,Amount Managed (M),Leadership Experience,FOUND,Amount Managed (M)
Leadership Experience,,Comments,Leadership Experience,FOUND,Comments
Professional Memberships,,Organisation,Professional Memberships,FOUND,Organisation
Professional Memberships,,Position/Role,Professional Memberships,FOUND,Position/Role
Professional Memberships,,Start Date,Professional Memberships,FOUND,Start Date
Professional Memberships,,End Date,Professional Memberships,FOUND,End Date
Career Aspirations,,Destination Role,Career Aspirations,FOUND,Destination Role
Career Aspirations,,Level,Career Aspirations,FOUND,Level
Career Aspirations,,Function,Career Aspirations,FOUND,Function
Career Aspirations,,Business Unit,Career Aspirations,FOUND,Business Unit
Career Aspirations,,Year(AD),Career Aspirations,FOUND,Year(AD)
Career Aspirations,,Type,Career Aspirations,FOUND,Type
Career Aspirations,,Comments,Career Aspirations,FOUND,Comments
Career Aspirations,,Status,Career Aspirations,FOUND,Status
Career Aspirations,,Completed Date,Career Aspirations,FOUND,Completed Date
Promotability **Manager view only,,Level,Promotability,FOUND,Level
Promotability **Manager view only,,Function,Promotability,FOUND,Function
Promotability **Manager view only,,Timeframe,Promotability,FOUND,Timeframe
Special Assignments/Projects,,Assignment/Project,Special Assignments/Projects,FOUND,Assignment/Project
Special Assignments/Projects,,Description,Special Assignments/Projects,FOUND,Description
Special Assignments/Projects,,Comments,Special Assignments/Projects,FOUND,Comments
Special Assignments/Projects,,Start Date,Special Assignments/Projects,FOUND,Start Date
Special Assignments/Projects,,End Date,Special Assignments/Projects,FOUND,End Date
OHS Certificate,,Completion date,OHS Certificate,FOUND,Completion date
OHS Certificate,,Institute ID,OHS Certificate,FOUND,Institute ID
OHS Certificate,,Description,OHS Certificate,FOUND,Description
OHS Certificate,,Comments,OHS Certificate,FOUND,Comments
OHS Certificate,,Certificate Number,OHS Certificate,FOUND,Certificate Number
OHS Certificate,,Course,OHS Certificate,FOUND,Course
OHS Certificate,,Course,OHS Certificate,FOUND,Course
OHS Document,,Registration Date,OHS Document,FOUND,Registration Date
OHS Document,,Inactive Date,OHS Document,FOUND,Inactive Date
OHS Document,,Labour Department Area,OHS Document,FOUND,Labour Department Area
OHS Document,,Document Number,OHS Document,FOUND,Document Number
OHS Document,,Safety Officer Level,OHS Document,FOUND,Safety Officer Level
OHS Document,,Direct Link - Name,OHS Document,FOUND,Direct Link - Name
OHS Document,,Direct Link - URL,OHS Document,FOUND,Direct Link - URL
OHS Document,,Attachment,OHS Document,FOUND,Attachment
Previous Work History,,Start Date,Previous Work History,FOUND,Start Date
Previous Work History,,End Date,Previous Work History,FOUND,End Date
Previous Work History,,Company Name,Previous Work History,FOUND,Company Name
Previous Work History,,Type of Business,Previous Work History,FOUND,Type of Business
Previous Work History,,Function,Previous Work History,FOUND,Function
Previous Work History,,Position,Previous Work History,FOUND,Position
Previous Work History,,Additional Information,Previous Work History,FOUND,Additional Information
Previous Work History,,Present Employer?,Previous Work History,FOUND,Present Employer?
Employee Benefit Obligation(EBO),,Description,Employee Benefit Obligation (EBO),FOUND,Description
Employee Benefit Obligation(EBO),,EBO Amount,Employee Benefit Obligation (EBO),FOUND,EBO Amount
Employee Benefit Obligation(EBO),,หมายเหตุ,Employee Benefit Obligation (EBO),MISSING,
Honours/Awards,,Honour or Award,Honours/Awards,FOUND,Honour or Award
Honours/Awards,,Description,Honours/Awards,FOUND,Description
Honours/Awards,,Institution,Honours/Awards,FOUND,Institution
Honours/Awards,,Issue Date,Honours/Awards,FOUND,Issue Date
Honours/Awards,,Additional Information,Honours/Awards,FOUND,Additional Information
Honours/Awards,,Attachment,Honours/Awards,FOUND,Attachment
Legal Execution Department,,Legal Execution Department,Legal Execution Department,FOUND,Legal Execution Department
Legal Execution Department,,Execution Case No.,Legal Execution Department,FOUND,Execution Case No.
Legal Execution Department,,Start Date,Legal Execution Department,FOUND,Start Date
Legal Execution Department,,End Date,Legal Execution Department,FOUND,End Date
Legal Execution Department,,Other information,Legal Execution Department,FOUND,Other information
Legal Execution Department,,Attachment,Legal Execution Department,FOUND,Attachment
Product Liability Insurance,,Effective Date,Product Liability Insurance,FOUND,Effective Date
Product Liability Insurance,,Insurance Company,Product Liability Insurance,FOUND,Insurance Company
Product Liability Insurance,,Bank,Product Liability Insurance,FOUND,Bank
Product Liability Insurance,,value,Product Liability Insurance,FOUND,value
Product Liability Insurance,,status,Product Liability Insurance,FOUND,status
Product Liability Insurance,,Remark,Product Liability Insurance,FOUND,Remark
Student Loan,,Year of Contract,Student Loan,FOUND,Year of Contract
Student Loan,,Levels of Education,Student Loan,FOUND,Levels of Education
Student Loan,,Academic Year,Student Loan,FOUND,Academic Year
Student Loan,,Year of final payment,Student Loan,FOUND,Year of final payment
Student Loan,,Attachment,Student Loan,FOUND,Attachment
Student Loan,,Remark,Student Loan,FOUND,Remark
Work Experience Within Company (History),,Start Date,Work Experience Within Company (History),FOUND,Start Date
Work Experience Within Company (History),,End Date,Work Experience Within Company (History),FOUND,End Date
Work Experience Within Company (History),,Event,Work Experience Within Company (History),FOUND,Event
Work Experience Within Company (History),,Event Reason,Work Experience Within Company (History),FOUND,Event Reason
Work Experience Within Company (History),,Company,Work Experience Within Company (History),FOUND,Company
Work Experience Within Company (History),,Business Unit,Work Experience Within Company (History),FOUND,Business Unit
Work Experience Within Company (History),,Function,Work Experience Within Company (History),FOUND,Function
Work Experience Within Company (History),,Organization,Work Experience Within Company (History),FOUND,Organization
Work Experience Within Company (History),,Department,Work Experience Within Company (History),FOUND,Department
Work Experience Within Company (History),,Store/Branch Code,Work Experience Within Company (History),FOUND,Store/Branch Code
Work Experience Within Company (History),,Work Location,Work Experience Within Company (History),FOUND,Work Location
Work Experience Within Company (History),,Posiiton Code,Work Experience Within Company (History),FOUND,Posiiton Code
Work Experience Within Company (History),,Position Name,Work Experience Within Company (History),FOUND,Position Name
Work Experience Within Company (History),,Supervisor ID,Work Experience Within Company (History),FOUND,Supervisor ID
Work Experience Within Company (History),,Job Family,Work Experience Within Company (History),FOUND,Job Family
Work Experience Within Company (History),,Job Code,Work Experience Within Company (History),FOUND,Job Code
Work Experience Within Company (History),,Job Role,Work Experience Within Company (History),FOUND,Job Role
Work Experience Within Company (History),,Person Grade,Work Experience Within Company (History),FOUND,Person Grade
Work Experience Within Company (History),,Job Grade,Work Experience Within Company (History),FOUND,Job Grade
Work Experience Within Company (History),,Corperate Title,Work Experience Within Company (History),FOUND,Corperate Title
Work Experience Within Company (History),,Band,Work Experience Within Company (History),FOUND,Band
Work Experience Within Company (History),,Employee Group,Work Experience Within Company (History),FOUND,Employee Group
Work Experience Within Company (History),,Contract Type,Work Experience Within Company (History),FOUND,Contract Type
Pending,,Badges,(none),NO CARD,
Profile,,Org Chart,(none),FOUND,Org Chart (on Employment information)
Profile,,Tags,(none),NO CARD,
